Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
184143,ALİ İNAN,2006,Privacy preserving distributed spatio-temporal data mining,Sabancı Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
202707,DERYA BİRANT,2006,Modeling and analyzing marine data using data mining techniques,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
216490,AYŞE BETÜL GÜLBAĞCI,2006,Air pollution forecasting by using data mining,Fatih Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
188892,GÜLÇİN BURUNCUK,2006,Data mining for customer segmentation and profiling: A case study for a fast moving consumer goods (FMCG)company,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; İşletme = Business Administration
181378,BÜLENT KUŞAKSIZOĞLU,2006,Fraud Detection in mobile communication networks using data mining,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
166334,İNCİ BÖLÜKBAŞI,2005,Defining critical factors affecting student success: A data mining approach,İstanbul Teknik Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
166959,SEDA DAĞLAR TOPRAK,2005,A new hybrid multi-relational data mining technique,Orta Doğu Teknik Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
170874,ZEYNEP ERENAY,2005,A data mining model for predicting a financial crisis in Turkey,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
198737,ELİF TUVA ERDOĞAN,2005,Mark-up estimation using data mining techniques,Gaziantep Üniversitesi,İngilizce,Yüksek Lisans,İnşaat Mühendisliği = Civil Engineering
150529,YAŞAR DOĞAN,2004,A data mining based target classification for tactical underwater sensor networks,Deniz Harp Okulu Komutanlığı,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
